feature,importance
similarity_to_meter_15,0.099992156
similarity_to_meter_13,0.055172786
similarity_to_meter_14,0.050675314
similarity_to_meter_16,0.050208222
similarity_to_meter_10,0.050080124
similarity_to_meter_2,0.039600287
similarity_to_meter_1,0.039343853
similarity_to_meter_7,0.028755473
relative_similarity_meter_4,0.027342781
relative_similarity_meter_1,0.024993662
similarity_std,0.024870807
relative_similarity_meter_5,0.023334384
relative_similarity_meter_6,0.023012077
relative_similarity_meter_3,0.022641312
mutaharrik_count,0.020660643
similarity_to_meter_9,0.020561444
similarity_ratio,0.020553827
relative_similarity_meter_8,0.018889645
relative_similarity_meter_2,0.018238315
rule_match_meter_12,0.015909454
similarity_to_meter_4,0.015662244
similarity_spread,0.014789699
similarity_to_meter_3,0.014012608
relative_similarity_meter_9,0.013640878
relative_similarity_meter_10,0.013154276
sakin_ratio,0.0123762945
relative_similarity_meter_7,0.012246048
verse_length_chars,0.011375233
similarity_to_meter_5,0.011038995
rhythm_alternation,0.010617544
relative_similarity_meter_15,0.0106068095
relative_similarity_meter_14,0.0105059575
sakin_count,0.0103468895
relative_similarity_meter_12,0.010212473
similarity_to_meter_11,0.010124193
word_count,0.009904418
similarity_to_meter_8,0.009587867
hamza_count,0.009531958
similarity_to_meter_12,0.008898693
rule_match_meter_11,0.008534634
long_vowel_count,0.008482827
vowel_density,0.007670282
relative_similarity_meter_11,0.007611554
consecutive_mutaharrik_max,0.0074866684
relative_similarity_meter_13,0.007169041
pattern_length,0.0064045656
relative_similarity_meter_16,0.0063176043
avg_word_length,0.006316628
letter_diversity,0.006218425
similarity_to_meter_6,0.00600054
similarity_mean,0.0057098
unique_letters,0.0048173657
consecutive_sakin_max,0.004032548
has_tanween,0.0038114
has_shadda,0.0023717454
rule_match_meter_14,0.002082653
rule_match_meter_6,0.0019894685
rule_match_meter_15,0.0015152215
rule_match_meter_16,0.0011292994
rule_match_meter_5,0.00085805275
pattern_complexity,0.0
is_clear_winner,0.0
rule_match_meter_2,0.0
rule_match_meter_10,0.0
rule_match_meter_9,0.0
rule_match_meter_8,0.0
rule_match_meter_7,0.0
rule_match_meter_3,0.0
rule_match_meter_4,0.0
rule_match_meter_1,0.0
rule_match_meter_13,0.0
